system:index,date,timestamp,.geo
267,2017-10-05,1.507161871E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2017-10-10,1.50761565804E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2017-10-10,1.507615698802E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2017-10-11,1.507766159E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2017-10-11,1.507766184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2017-10-14,1.507960423146E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2017-10-14,1.507960463908E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2017-10-14,1.507983138E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2017-10-17,1.508198647E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2017-10-17,1.508198672E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2017-10-19,1.508392840282E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2017-10-19,1.508392881044E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2017-10-23,1.50880296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2017-10-23,1.508802985E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2017-10-26,1.509019938E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2017-10-29,1.509235447E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2017-10-29,1.509235472E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2017-11-04,1.509839759E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2017-11-04,1.509839784E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2017-11-07,1.510056738E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2017-11-10,1.510272246E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2017-11-10,1.510272271E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2017-11-16,1.510876559E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2017-11-16,1.510876584E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2017-11-19,1.511093538E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2017-11-21,1.511244458593E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2017-11-21,1.511244499352E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2017-11-25,1.511589224179E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2017-11-25,1.511589264941E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2017-11-28,1.511913359E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2017-11-28,1.511913384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2017-11-30,1.512021641673E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2017-11-30,1.512021682436E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2017-12-01,1.512130337E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2017-12-04,1.512345846E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2017-12-04,1.512345871E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,2017-12-10,1.512950158E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,2017-12-10,1.512950183E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,2017-12-13,1.513167137E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,2017-12-22,1.513986958E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,2017-12-22,1.513986983E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,2017-12-25,1.514203936E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,2017-12-28,1.514419445E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,2017-12-28,1.51441947E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
